sequential_entry_number,original_record_id,bank,record_type,exact_japanese_source,romaji,reconstructed_japanese,literal_english_meaning,linguistic_and_cultural_notes,speaker_or_narration_identity,current_english,problems_with_current_english,final_natural_english_translation,patch_safe_english_translation,confidence_level,unresolved_ambiguity,translation_status,scene,source_location,apparent_capacity,source_control_codes,patch_control_codes,control_codes_match,problem_categories,dialect_or_register,requires_gameplay_context,requires_technical_expansion,nuance_lost_in_patch_safe_version
1875,TT6B/fixed/r10,TT6B,fixed-address,めをむく,meomuku,めをむく,Glare / widen the eyes,Fixed-address interface record: 4 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,Glare,Technical abbreviation: current slot text 'Glare' represents 'Glare / widen the eyes' in 4 packed bytes. Natural meaning is expanded in the final field.,Glare / widen the eyes,Glare,High,,Final proposed,"Journey to Bethlehem: desert trials, riddles, and animal comedy",$A7A4,4 packed bytes (fixed-address slot),,,yes,Acceptable compression / technical abbreviation,Unmarked / neutral or context-dependent,no,no,
1876,TT6B/fixed/r11,TT6B,fixed-address,さけぶ,sakebu,さけぶ,Shout,Fixed-address interface record: 4 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,Yell,Technical abbreviation: current slot text 'Yell' represents 'Shout' in 4 packed bytes. Natural meaning is expanded in the final field.,Shout,Yell,High,,Final proposed,"Journey to Bethlehem: desert trials, riddles, and animal comedy",$A7A8,4 packed bytes (fixed-address slot),,,yes,Acceptable compression / technical abbreviation,Unmarked / neutral or context-dependent,no,no,
1877,TT6B/fixed/r12,TT6B,fixed-address,したをだす,shitaodasu,したをだす,Stick out tongue,Fixed-address interface record: 5 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,Tongue,Technical abbreviation: current slot text 'Tongue' represents 'Stick out tongue' in 5 packed bytes. Natural meaning is expanded in the final field.,Stick out tongue,Tongue,High,,Final proposed,"Journey to Bethlehem: desert trials, riddles, and animal comedy",$A7AC,5 packed bytes (fixed-address slot),,,yes,Acceptable compression / technical abbreviation,Unmarked / neutral or context-dependent,no,no,
1878,TT6B/fixed/r13,TT6B,fixed-address,ういんくする,uinkusuru,ういんくする,Wink,Fixed-address interface record: 6 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,Wink,Accurate within a fixed 6-byte record.,Wink,Wink,High,,Final proposed,"Journey to Bethlehem: desert trials, riddles, and animal comedy",$A7B1,6 packed bytes (fixed-address slot),,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
1879,TT6B/fixed/r14,TT6B,fixed-address,はなす,hanasu,はなす,Talk,Fixed-address interface record: 4 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,Talk,Accurate within a fixed 4-byte record.,Talk,Talk,High,,Final proposed,"Journey to Bethlehem: desert trials, riddles, and animal comedy",$A7B7,4 packed bytes (fixed-address slot),,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
1880,TT6B/fixed/r15,TT6B,fixed-address,たべる,taberu,たべる,Eat,Fixed-address interface record: 4 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,Eat,Accurate within a fixed 4-byte record.,Eat,Eat,High,,Final proposed,"Journey to Bethlehem: desert trials, riddles, and animal comedy",$A7BB,4 packed bytes (fixed-address slot),,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
1881,TT6B/fixed/r16,TT6B,fixed-address,てんと,tento,てんと,Tent,Fixed-address interface record: 4 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,Tent,Accurate within a fixed 4-byte record.,Tent,Tent,High,,Final proposed,"Journey to Bethlehem: desert trials, riddles, and animal comedy",$A7BF,4 packed bytes (fixed-address slot),,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
1882,TT6B/fixed/r17,TT6B,fixed-address,らくだ,rakuda,らくだ,Camel,Fixed-address interface record: 4 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,Camel,Accurate within a fixed 4-byte record.,Camel,Camel,High,,Final proposed,"Journey to Bethlehem: desert trials, riddles, and animal comedy",$A7C3,4 packed bytes (fixed-address slot),,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
1883,TT6B/fixed/r18,TT6B,fixed-address,おとこたち,otokotachi,おとこたち,Men,Fixed-address interface record: 5 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,Men,Accurate within a fixed 5-byte record.,Men,Men,High,,Final proposed,"Journey to Bethlehem: desert trials, riddles, and animal comedy",$A7C7,5 packed bytes (fixed-address slot),,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
1884,TT6B/fixed/r19,TT6B,fixed-address,きた,kita,きた,North,Fixed-address interface record: 3 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,North,Accurate within a fixed 3-byte record.,North,North,High,,Final proposed,"Journey to Bethlehem: desert trials, riddles, and animal comedy",$A7CC,3 packed bytes (fixed-address slot),,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
1885,TT6B/fixed/r20,TT6B,fixed-address,ひがし,higashi,ひがし,East,Fixed-address interface record: 4 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,East,Accurate within a fixed 4-byte record.,East,East,High,,Final proposed,"Journey to Bethlehem: desert trials, riddles, and animal comedy",$A7CF,4 packed bytes (fixed-address slot),,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
1886,TT6B/fixed/r21,TT6B,fixed-address,にし,nishi,にし,West,Fixed-address interface record: 3 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,West,Accurate within a fixed 3-byte record.,West,West,High,,Final proposed,"Journey to Bethlehem: desert trials, riddles, and animal comedy",$A7D3,3 packed bytes (fixed-address slot),,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
1887,TT6B/fixed/r22,TT6B,fixed-address,みなみ,minami,みなみ,South,Fixed-address interface record: 4 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,South,Accurate within a fixed 4-byte record.,South,South,High,,Final proposed,"Journey to Bethlehem: desert trials, riddles, and animal comedy",$A7D6,4 packed bytes (fixed-address slot),,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
1888,TT6B/fixed/r23,TT6B,fixed-address,すすむ,susumu,すすむ,Forward,Fixed-address interface record: 4 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,Forward,Accurate within a fixed 4-byte record.,Forward,Forward,High,,Final proposed,"Journey to Bethlehem: desert trials, riddles, and animal comedy",$A7DA,4 packed bytes (fixed-address slot),,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
1889,TT6B/fixed/r24,TT6B,fixed-address,もどる,modoru,もどる,Back,Fixed-address interface record: 4 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,Back,Accurate within a fixed 4-byte record.,Back,Back,High,,Final proposed,"Journey to Bethlehem: desert trials, riddles, and animal comedy",$A7DE,4 packed bytes (fixed-address slot),,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
1890,TT6B/fixed/r25,TT6B,fixed-address,あたっく,atakku,あたっく,Attack,Fixed-address interface record: 5 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,Fight,Technical abbreviation: current slot text 'Fight' represents 'Attack' in 5 packed bytes. Natural meaning is expanded in the final field.,Attack,Fight,High,,Final proposed,"Journey to Bethlehem: desert trials, riddles, and animal comedy",$A7E2,5 packed bytes (fixed-address slot),,,yes,Acceptable compression / technical abbreviation,Unmarked / neutral or context-dependent,no,no,
1891,TT6B/fixed/r26,TT6B,fixed-address,あるく,aruku,あるく,Walk,Fixed-address interface record: 4 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,Walk,Accurate within a fixed 4-byte record.,Walk,Walk,High,,Final proposed,"Journey to Bethlehem: desert trials, riddles, and animal comedy",$A7E7,4 packed bytes (fixed-address slot),,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
1892,TT6B/fixed/r27,TT6B,fixed-address,へやのなか,heyanonaka,へやのなか,Inside the room,Fixed-address interface record: 5 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,Room,Technical abbreviation: current slot text 'Room' represents 'Inside the room' in 5 packed bytes. Natural meaning is expanded in the final field.,Inside the room,Room,High,,Final proposed,"Journey to Bethlehem: desert trials, riddles, and animal comedy",$A7EB,5 packed bytes (fixed-address slot),,,yes,Acceptable compression / technical abbreviation,Unmarked / neutral or context-dependent,no,no,
1893,TT6B/fixed/r28,TT6B,fixed-address,かいばおけ,kaibaoke,かいばおけ,Feeding trough,Fixed-address interface record: 5 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,Trough,Technical abbreviation: current slot text 'Trough' represents 'Feeding trough' in 5 packed bytes. Natural meaning is expanded in the final field.,Feeding trough,Trough,High,,Final proposed,"Journey to Bethlehem: desert trials, riddles, and animal comedy",$A7F0,5 packed bytes (fixed-address slot),,,yes,Acceptable compression / technical abbreviation,Unmarked / neutral or context-dependent,no,no,
1894,TT6B/fixed/r29,TT6B,fixed-address,うま,uma,うま,Horse,Fixed-address interface record: 3 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,Horse,Accurate within a fixed 3-byte record.,Horse,Horse,High,,Final proposed,"Journey to Bethlehem: desert trials, riddles, and animal comedy",$A7F5,3 packed bytes (fixed-address slot),,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
1895,TT6B/fixed/r30,TT6B,fixed-address,ひつじ,hitsuji,ひつじ,Sheep,Fixed-address interface record: 4 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,Sheep,Accurate within a fixed 4-byte record.,Sheep,Sheep,High,,Final proposed,"Journey to Bethlehem: desert trials, riddles, and animal comedy",$A7F8,4 packed bytes (fixed-address slot),,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
1896,TT6B/fixed/r31,TT6B,fixed-address,うし,ushi,うし,Cow,Fixed-address interface record: 3 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,Cow,Accurate within a fixed 3-byte record.,Cow,Cow,High,,Final proposed,"Journey to Bethlehem: desert trials, riddles, and animal comedy",$A7FC,3 packed bytes (fixed-address slot),,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
1897,TT6B/fixed/r32,TT6B,fixed-address,うんち,unchi,うんち,Dung,Fixed-address interface record: 4 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,Dung,Accurate within a fixed 4-byte record.,Dung,Dung,High,,Final proposed,"Journey to Bethlehem: desert trials, riddles, and animal comedy",$A7FF,4 packed bytes (fixed-address slot),,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
1898,TT6B/fixed/r33,TT6B,fixed-address,ちえのみ,chienomi,ちえのみ,Fruit of wisdom,Fixed-address interface record: 4 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,Wisdom,Technical abbreviation: current slot text 'Wisdom' represents 'Fruit of wisdom' in 4 packed bytes. Natural meaning is expanded in the final field.,Fruit of wisdom,Wisdom,High,,Final proposed,"Journey to Bethlehem: desert trials, riddles, and animal comedy",$A803,4 packed bytes (fixed-address slot),,,yes,Acceptable compression / technical abbreviation,Unmarked / neutral or context-dependent,no,no,
1899,TT6B/fixed/r34,TT6B,fixed-address,ちしきのみ,chishikinomi,ちしきのみ,Fruit of knowledge,Fixed-address interface record: 5 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,Knowledge,Technical abbreviation: current slot text 'Knowledge' represents 'Fruit of knowledge' in 5 packed bytes. Natural meaning is expanded in the final field.,Fruit of knowledge,Knowledge,High,,Final proposed,"Journey to Bethlehem: desert trials, riddles, and animal comedy",$A807,5 packed bytes (fixed-address slot),,,yes,Acceptable compression / technical abbreviation,Unmarked / neutral or context-dependent,no,no,
1900,TT6B/fixed/r35,TT6B,fixed-address,いしす,ishisu,いしす,Isis,Fixed-address interface record: 4 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,Isis,Accurate within a fixed 4-byte record.,Isis,Isis,High,,Final proposed,"Journey to Bethlehem: desert trials, riddles, and animal comedy",$A80C,4 packed bytes (fixed-address slot),,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
1901,TT6B/fixed/r36,TT6B,fixed-address,ばーる,baaru,ばーる,Baal,Fixed-address interface record: 4 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,Baal,Accurate within a fixed 4-byte record.,Baal,Baal,High,,Final proposed,"Journey to Bethlehem: desert trials, riddles, and animal comedy",$A810,4 packed bytes (fixed-address slot),,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
1902,TT6B/fixed/r37,TT6B,fixed-address,えほば,ehoba,えほば,Jehovah,Fixed-address interface record: 4 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,Jehovah,Accurate within a fixed 4-byte record.,Jehovah,Jehovah,High,,Final proposed,"Journey to Bethlehem: desert trials, riddles, and animal comedy",$A814,4 packed bytes (fixed-address slot),,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
1903,TT6B/fixed/r38,TT6B,fixed-address,いらく,iraku,いらく,Iraq,Fixed-address interface record: 4 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,Iraq,Accurate within a fixed 4-byte record.,Iraq,Iraq,High,,Final proposed,"Journey to Bethlehem: desert trials, riddles, and animal comedy",$A818,4 packed bytes (fixed-address slot),,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
1904,TT6B/fixed/r39,TT6B,fixed-address,よるだん,yorudan,よるだん,Jordan,Fixed-address interface record: 5 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,Jordan,Accurate within a fixed 5-byte record.,Jordan,Jordan,High,,Final proposed,"Journey to Bethlehem: desert trials, riddles, and animal comedy",$A81C,5 packed bytes (fixed-address slot),,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
1905,TT6B/fixed/r40,TT6B,fixed-address,しりあ,shiria,しりあ,Syria,Fixed-address interface record: 4 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,Syria,Accurate within a fixed 4-byte record.,Syria,Syria,High,,Final proposed,"Journey to Bethlehem: desert trials, riddles, and animal comedy",$A821,4 packed bytes (fixed-address slot),,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
1906,TT6B/fixed/r41,TT6B,fixed-address,えじぷと,ejiputo,えじぷと,Egypt,Fixed-address interface record: 5 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,Egypt,Accurate within a fixed 5-byte record.,Egypt,Egypt,High,,Final proposed,"Journey to Bethlehem: desert trials, riddles, and animal comedy",$A825,5 packed bytes (fixed-address slot),,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
1907,TT6B/fixed/r42,TT6B,fixed-address,だびで,dabide,だびで,David,Fixed-address interface record: 5 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,David,Accurate within a fixed 5-byte record.,David,David,High,,Final proposed,"Journey to Bethlehem: desert trials, riddles, and animal comedy",$A82A,5 packed bytes (fixed-address slot),,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
1908,TT6B/fixed/r43,TT6B,fixed-address,そろもん,soromon,そろもん,Solomon,Fixed-address interface record: 4 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,Solomon,Accurate within a fixed 4-byte record.,Solomon,Solomon,High,,Final proposed,"Journey to Bethlehem: desert trials, riddles, and animal comedy",$A82F,4 packed bytes (fixed-address slot),,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
1909,TT6B/fixed/r44,TT6B,fixed-address,さむそん,samuson,さむそん,Samson,Fixed-address interface record: 4 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,Samson,Accurate within a fixed 4-byte record.,Samson,Samson,High,,Final proposed,"Journey to Bethlehem: desert trials, riddles, and animal comedy",$A833,4 packed bytes (fixed-address slot),,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
1910,TT6B/fixed/r45,TT6B,fixed-address,やこぶ,yakobu,やこぶ,Jacob,Fixed-address interface record: 4 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,Jacob,Accurate within a fixed 4-byte record.,Jacob,Jacob,High,,Final proposed,"Journey to Bethlehem: desert trials, riddles, and animal comedy",$A837,4 packed bytes (fixed-address slot),,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
1911,TT6B/fixed/r46,TT6B,fixed-address,いさく,isaku,いさく,Isaac,Fixed-address interface record: 4 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,Isaac,Accurate within a fixed 4-byte record.,Isaac,Isaac,High,,Final proposed,"Journey to Bethlehem: desert trials, riddles, and animal comedy",$A83B,4 packed bytes (fixed-address slot),,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
1912,TT6B/fixed/r47,TT6B,fixed-address,さだむ,sadamu,さだむ,Saddam,Fixed-address interface record: 4 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,Saddam,Accurate within a fixed 4-byte record.,Saddam,Saddam,High,,Final proposed,"Journey to Bethlehem: desert trials, riddles, and animal comedy",$A83F,4 packed bytes (fixed-address slot),,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
1913,TT6B/fixed/r48,TT6B,fixed-address,あぶらはむ,aburahamu,あぶらはむ,Abraham,Fixed-address interface record: 5 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,Abraham,Accurate within a fixed 5-byte record.,Abraham,Abraham,High,,Final proposed,"Journey to Bethlehem: desert trials, riddles, and animal comedy",$A843,5 packed bytes (fixed-address slot),,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
1914,TT6B/fixed/r49,TT6B,fixed-address,さたん,satan,さたん,Satan,Fixed-address interface record: 4 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,Satan,Accurate within a fixed 4-byte record.,Satan,Satan,High,,Final proposed,"Journey to Bethlehem: desert trials, riddles, and animal comedy",$A848,4 packed bytes (fixed-address slot),,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
1915,TT6B/fixed/r50,TT6B,fixed-address,きりすと,kirisuto,きりすと,Christ,Fixed-address interface record: 4 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,Christ,Accurate within a fixed 4-byte record.,Christ,Christ,High,,Final proposed,"Journey to Bethlehem: desert trials, riddles, and animal comedy",$A84C,4 packed bytes (fixed-address slot),,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
1916,TT6B/fixed/r51,TT6B,fixed-address,ぞろあすたー,zoroasutaa,ぞろあすたー,Zoroaster,Fixed-address interface record: 7 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,Zoroaster,Accurate within a fixed 7-byte record.,Zoroaster,Zoroaster,High,,Final proposed,"Journey to Bethlehem: desert trials, riddles, and animal comedy",$A850,7 packed bytes (fixed-address slot),,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
1917,TT6B/fixed/r52,TT6B,fixed-address,おいる,oiru,おいる,Oil,Fixed-address interface record: 4 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,Oil,Accurate within a fixed 4-byte record.,Oil,Oil,High,,Final proposed,"Journey to Bethlehem: desert trials, riddles, and animal comedy",$A857,4 packed bytes (fixed-address slot),,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
1918,TT6B/fixed/r53,TT6B,fixed-address,ほしくさ,hoshikusa,ほしくさ,Hay,Fixed-address interface record: 4 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,Hay,Accurate within a fixed 4-byte record.,Hay,Hay,High,,Final proposed,"Journey to Bethlehem: desert trials, riddles, and animal comedy",$A85B,4 packed bytes (fixed-address slot),,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
1919,TT6B/fixed/r54,TT6B,fixed-address,しっぽをふる,shippoofuru,しっぽをふる,Wag tail,Fixed-address interface record: 7 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,Wag,Technical abbreviation: current slot text 'Wag' represents 'Wag tail' in 7 packed bytes. Natural meaning is expanded in the final field.,Wag tail,Wag,High,,Final proposed,"Journey to Bethlehem: desert trials, riddles, and animal comedy",$A85F,7 packed bytes (fixed-address slot),,,yes,Acceptable compression / technical abbreviation,Unmarked / neutral or context-dependent,no,no,
1920,TT6B/fixed/r55,TT6B,fixed-address,のみをとる,nomiotoru,のみをとる,Pick off fleas,Fixed-address interface record: 5 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,Fleas,Technical abbreviation: current slot text 'Fleas' represents 'Pick off fleas' in 5 packed bytes. Natural meaning is expanded in the final field.,Pick off fleas,Fleas,High,,Final proposed,"Journey to Bethlehem: desert trials, riddles, and animal comedy",$A866,5 packed bytes (fixed-address slot),,,yes,Acceptable compression / technical abbreviation,Unmarked / neutral or context-dependent,no,no,
1921,TT6B/fixed/r56,TT6B,fixed-address,かたをだく,kataodaku,かたをだく,Put an arm around,Fixed-address interface record: 5 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,Hug,Technical abbreviation: current slot text 'Hug' represents 'Put an arm around' in 5 packed bytes. Natural meaning is expanded in the final field.,Put an arm around,Hug,High,,Final proposed,"Journey to Bethlehem: desert trials, riddles, and animal comedy",$A86B,5 packed bytes (fixed-address slot),,,yes,Acceptable compression / technical abbreviation,Unmarked / neutral or context-dependent,no,no,
